parser                           retained B  allocations
hermes/upstream decoder               46587          296
hermes/symbolicator                   24043          296
jvm/10000-ranges                    1017169        10021
1MiB-source/upstream decoder        1049048           10
1MiB-source/symbolicator                456           10
1000-sources/upstream decoder         56856         2012
1000-sources/symbolicator             56856         2012
unmapped/javascript                       0            0
unmapped/jvm                              0            0
